Species,stage2009,size2009,size2016,survival,sprout2016,harvest
Chloroxylon swietenia,Sprout,,0.441494904,1,0,0
Chloroxylon swietenia,Sprout,,,1,0,0
Chloroxylon swietenia,Sprout,,0.441494904,1,0,0
Chloroxylon swietenia,Sprout,,0.619716561,1,0,0
Chloroxylon swietenia,Sprout,,0.662242675,1,0,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,1,1,0
Chloroxylon swietenia,Sprout,,,0,0,0
Chloroxylon swietenia,Sprout,,,0,0,0
Chloroxylon swietenia,Sprout,,,0,0,0
