Species,size2009,size2016,survival,sprout2016,harvest
Chloroxylon switenia,1.114649682,,1,1,1
Chloroxylon switenia,1.27388535,1.592356688,1,0,0
Chloroxylon switenia,1.910828025,4.458598726,1,0,0
Chloroxylon switenia,2.229299363,3.184713376,1,0,0
Chloroxylon switenia,2.229299363,3.503184713,1,0,1
Chloroxylon switenia,2.547770701,3.184713376,1,0,0
Chloroxylon switenia,2.547770701,4.458598726,1,0,1
Chloroxylon switenia,3.343949045,3.821656051,1,0,0
Chloroxylon switenia,3.503184713,5.095541401,1,0,0
Chloroxylon switenia,3.834394904,3.184713376,1,0,1
Chloroxylon switenia,3.98089172,5.25477707,1,0,0
Chloroxylon switenia,4.076433121,4.299363057,1,0,0
Chloroxylon switenia,4.458598726,,1,1,1
Chloroxylon switenia,4.458598726,5.891719745,1,0,0
Chloroxylon switenia,4.649681529,4.777070064,1,0,0
Chloroxylon switenia,4.72611465,3.398089172,1,0,1
Chloroxylon switenia,4.777070064,5.095541401,1,0,0
Chloroxylon switenia,4.777070064,5.25477707,1,0,0
Chloroxylon switenia,4.777070064,6.369426752,1,0,0
Chloroxylon switenia,4.777070064,6.369426752,1,0,1
Chloroxylon switenia,4.936305732,7.006369427,1,0,1
Chloroxylon switenia,5.095541401,5.732484076,1,0,0
Chloroxylon switenia,5.095541401,5.732484076,1,0,0
Chloroxylon switenia,5.095541401,7.324840764,1,0,1
Chloroxylon switenia,5.095541401,,1,1,1
Chloroxylon switenia,5.573248408,6.687898089,1,0,0
Chloroxylon switenia,5.633757962,6.984076433,1,0,0
Chloroxylon switenia,5.732484076,,1,1,1
Chloroxylon switenia,5.751592357,7.707006369,1,0,0
Chloroxylon switenia,5.891719745,6.687898089,1,0,0
Chloroxylon switenia,6.050955414,6.687898089,1,0,0
Chloroxylon switenia,6.050955414,7.006369427,1,0,0
Chloroxylon switenia,6.050955414,,0,0,1
Chloroxylon switenia,6.369426752,5.732484076,1,0,0
Chloroxylon switenia,6.369426752,7.643312102,1,0,0
Chloroxylon switenia,6.420382166,8.168789809,1,0,0
Chloroxylon switenia,6.52866242,8.280254777,1,0,0
Chloroxylon switenia,6.687898089,8.280254777,1,0,0
Chloroxylon switenia,6.687898089,8.280254777,1,0,0
Chloroxylon switenia,6.847133758,7.165605096,1,0,0
Chloroxylon switenia,6.847133758,7.324840764,1,0,0
Chloroxylon switenia,6.847133758,7.961783439,1,0,0
Chloroxylon switenia,6.847133758,7.643312102,1,0,1
Chloroxylon switenia,7.006369427,8.121019108,1,0,0
Chloroxylon switenia,7.324840764,7.961783439,1,0,0
Chloroxylon switenia,7.324840764,9.554140127,1,0,1
Chloroxylon switenia,7.802547771,8.598726115,1,0,0
Chloroxylon switenia,7.802547771,8.598726115,1,0,0
Chloroxylon switenia,7.961783439,9.076433121,1,0,0
Chloroxylon switenia,7.961783439,9.554140127,1,0,0
Chloroxylon switenia,8.598726115,9.23566879,1,0,1
Chloroxylon switenia,8.757961783,10.1910828,1,0,0
Chloroxylon switenia,9.23566879,10.82802548,1,0,0
Chloroxylon switenia,9.554140127,,1,1,1
Chloroxylon switenia,9.872611465,11.78343949,1,0,0
Chloroxylon switenia,10.1910828,3.885350318,1,0,1
Chloroxylon switenia,10.56687898,10.51273885,1,0,0
Chloroxylon switenia,10.66878981,11.14649682,1,0,0
Chloroxylon switenia,10.70063694,8.280254777,1,0,1
Chloroxylon switenia,11.07006369,12.10828025,1,0,0
Chloroxylon switenia,11.62420382,11.14649682,1,0,0
Chloroxylon switenia,12.7388535,13.69426752,1,0,0
Chloroxylon switenia,13.20382166,11.14649682,1,0,0
Chloroxylon switenia,14.01273885,,1,1,1
Chloroxylon switenia,15.60509554,17.51592357,1,0,0
